subID,partnerID,dyad,connection_3_before,connection_2_before,connection_1_before,connection_long_gap,connection_1_after,connection_2_after,connection_3_after,gap_length,change_in_connection_3_before,change_in_connection_2_before,change_in_connection_1_before,change_in_connection_1_after,change_in_connection_2_after,change_in_connection_3_after
8,235,8_235,31.85,31.0,29.35,24.0,22.9,20.0,20.0,2169.0,7.850000000000001,7.0,5.350000000000001,-1.1000000000000014,-4.0,-4.0
235,8,8_235,51.7,52.9,53.0,53.0,53.0,53.95,54.0,2169.0,-1.2999999999999972,-0.10000000000000142,0.0,0.0,0.9500000000000028,1.0
8,235,8_235,88.85,88.0,88.0,88.0,88.0,87.55,85.0,2009.0,0.8499999999999943,0.0,0.0,0.0,-0.45000000000000284,-3.0
235,8,8_235,61.0,61.0,60.8,60.7,62.0,62.0,62.0,2009.0,0.29999999999999716,0.29999999999999716,0.09999999999999432,1.2999999999999972,1.2999999999999972,1.2999999999999972
8,235,8_235,90.0,90.0,90.0,90.55,91.0,91.0,91.0,2026.0,-0.5499999999999972,-0.5499999999999972,-0.5499999999999972,0.45000000000000284,0.45000000000000284,0.45000000000000284
235,8,8_235,64.85,60.65,58.5,58.0,58.0,57.55,56.15,2026.0,6.849999999999994,2.6499999999999986,0.5,0.0,-0.45000000000000284,-1.8500000000000014
30,215,30_215,75.0,75.05,78.9,79.0,79.0,90.25,90.0,3072.0,-4.0,-3.950000000000003,-0.09999999999999432,0.0,11.25,11.0
215,30,30_215,91.0,91.0,91.0,91.0,91.0,91.0,91.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0
30,215,30_215,90.0,90.0,90.0,90.0,90.0,90.0,90.0,3485.0,0.0,0.0,0.0,0.0,0.0,0.0
215,30,30_215,91.0,91.0,91.0,91.0,91.0,91.0,91.0,3485.0,0.0,0.0,0.0,0.0,0.0,0.0
30,215,30_215,98.0,98.0,98.0,98.0,98.0,98.0,98.0,2321.0,0.0,0.0,0.0,0.0,0.0,0.0
215,30,30_215,96.0,96.0,96.0,96.0,96.0,96.0,96.0,2321.0,0.0,0.0,0.0,0.0,0.0,0.0
21,212,21_212,74.0,78.9,80.0,80.0,80.5,81.0,81.0,2128.0,-6.0,-1.0999999999999943,0.0,0.5,1.0,1.0
212,21,21_212,63.0,63.0,63.0,55.18181818181818,54.0,54.0,54.0,2128.0,7.81818181818182,7.81818181818182,7.81818181818182,-1.1818181818181799,-1.1818181818181799,-1.1818181818181799
11,241,11_241,52.8,60.4,56.95,56.3,55.5,56.0,57.8,2053.0,-3.5,4.100000000000001,0.6500000000000057,-0.7999999999999972,-0.29999999999999716,1.5
241,11,11_241,64.05,65.9,67.2,74.35,75.0,75.0,75.0,2053.0,-10.299999999999997,-8.449999999999989,-7.1499999999999915,0.6500000000000057,0.6500000000000057,0.6500000000000057
11,241,11_241,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2420.0,0.0,0.0,0.0,0.0,0.0,0.0
241,11,11_241,67.0,67.4,67.1,64.91666666666667,57.2,50.7,50.0,2420.0,2.0833333333333286,2.4833333333333343,2.183333333333323,-7.716666666666669,-14.216666666666669,-14.916666666666671
11,241,11_241,92.0,92.0,89.65,89.0,89.0,89.0,89.0,2229.0,3.0,3.0,0.6500000000000057,0.0,0.0,0.0
241,11,11_241,38.0,38.0,39.45,49.5,52.85,53.0,53.0,2229.0,-11.5,-11.5,-10.049999999999997,3.3500000000000014,3.5,3.5
11,241,11_241,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2408.0,0.0,0.0,0.0,0.0,0.0,0.0
241,11,11_241,62.55,60.6,60.0,58.25,55.0,55.0,60.05,2408.0,4.299999999999997,2.3500000000000014,1.75,-3.25,-3.25,1.7999999999999972
11,241,11_241,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2370.0,0.0,0.0,0.0,0.0,0.0,0.0
241,11,11_241,26.0,26.0,26.0,26.0,26.75,27.0,27.0,2370.0,0.0,0.0,0.0,0.75,1.0,1.0
11,241,11_241,93.0,93.0,93.0,93.0,93.0,93.0,93.0,2124.0,0.0,0.0,0.0,0.0,0.0,0.0
241,11,11_241,49.05,53.6,56.75,62.59090909090909,64.0,64.0,64.05,2124.0,-13.540909090909096,-8.990909090909092,-5.8409090909090935,1.4090909090909065,1.4090909090909065,1.4590909090909037
11,241,11_241,91.0,91.0,91.0,91.0,91.0,91.0,91.0,2067.0,0.0,0.0,0.0,0.0,0.0,0.0
241,11,11_241,67.0,67.0,67.0,64.5,62.55,61.0,61.0,2067.0,2.5,2.5,2.5,-1.9500000000000028,-3.5,-3.5
11,241,11_241,91.0,91.0,91.0,91.0,91.0,91.0,91.0,2286.0,0.0,0.0,0.0,0.0,0.0,0.0
241,11,11_241,61.0,61.0,61.0,61.0,60.45,60.0,60.0,2286.0,0.0,0.0,0.0,-0.5499999999999972,-1.0,-1.0
86,251,86_251,82.0,79.95,76.95,72.58823529411765,72.0,72.0,72.0,3372.0,9.411764705882348,7.361764705882351,4.361764705882351,-0.5882352941176521,-0.5882352941176521,-0.5882352941176521
251,86,86_251,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3372.0,0.0,0.0,0.0,0.0,0.0,0.0
86,251,86_251,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0
251,86,86_251,100.0,100.0,100.0,98.28571428571429,45.25,47.65,55.5,2014.0,1.7142857142857082,1.7142857142857082,1.7142857142857082,-53.03571428571429,-50.63571428571429,-42.78571428571429
44,252,44_252,53.0,53.0,53.0,53.0,53.0,53.0,53.0,2538.0,0.0,0.0,0.0,0.0,0.0,0.0
252,44,44_252,48.0,48.0,48.0,48.0,48.0,48.0,47.45,2538.0,0.0,0.0,0.0,0.0,0.0,-0.5499999999999972
44,252,44_252,55.0,55.0,55.0,55.0,55.0,55.0,55.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0
252,44,44_252,60.8,61.0,58.9,53.0,53.0,54.85,57.45,2449.0,7.799999999999997,8.0,5.899999999999999,0.0,1.8500000000000014,4.450000000000003
44,252,44_252,60.0,60.0,60.0,60.0,60.0,60.9,61.0,2548.0,0.0,0.0,0.0,0.0,0.8999999999999986,1.0
252,44,44_252,74.0,74.0,74.0,74.0,74.0,74.0,74.0,2548.0,0.0,0.0,0.0,0.0,0.0,0.0
44,252,44_252,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2747.0,0.0,0.0,0.0,0.0,0.0,0.0
252,44,44_252,71.4,64.0,68.8,69.78571428571429,68.35,68.0,68.0,2747.0,1.6142857142857139,-5.785714285714292,-0.9857142857142946,-1.4357142857142975,-1.7857142857142918,-1.7857142857142918
44,252,44_252,61.0,61.0,61.0,61.0,61.0,61.0,38.25,4528.0,0.0,0.0,0.0,0.0,0.0,-22.75
252,44,44_252,59.0,59.0,59.0,50.75555555555555,25.9,30.0,31.0,4528.0,8.244444444444447,8.244444444444447,8.244444444444447,-24.855555555555554,-20.755555555555553,-19.755555555555553
44,252,44_252,80.0,80.0,80.0,80.0,80.0,81.0,81.0,3202.0,0.0,0.0,0.0,0.0,1.0,1.0
252,44,44_252,44.0,42.21052631578947,42.0,42.0,42.4,44.85,44.75,3202.0,2.0,0.21052631578947256,0.0,0.3999999999999986,2.8500000000000014,2.75
44,252,44_252,80.0,80.0,80.0,80.14285714285714,81.0,81.0,81.0,2063.0,-0.1428571428571388,-0.1428571428571388,-0.1428571428571388,0.8571428571428612,0.8571428571428612,0.8571428571428612
252,44,44_252,42.0,42.0,42.0,42.666666666666664,45.0,44.45,43.0,2063.0,-0.6666666666666643,-0.6666666666666643,-0.6666666666666643,2.3333333333333357,1.7833333333333385,0.3333333333333357
44,252,44_252,81.0,81.0,81.0,81.2,82.0,82.0,82.0,2965.0,-0.20000000000000284,-0.20000000000000284,-0.20000000000000284,0.7999999999999972,0.7999999999999972,0.7999999999999972
252,44,44_252,46.5,48.45,49.15,46.13333333333333,43.0,42.8,39.05,2965.0,0.36666666666666714,2.31666666666667,3.0166666666666657,-3.133333333333333,-3.3333333333333357,-7.083333333333336
44,246,44_246,58.0,58.0,58.0,58.0,58.0,58.0,58.0,2165.0,0.0,0.0,0.0,0.0,0.0,0.0
246,44,44_246,26.0,26.0,23.8,18.666666666666668,18.0,18.8,19.0,2165.0,7.333333333333332,7.333333333333332,5.133333333333333,-0.6666666666666679,0.13333333333333286,0.33333333333333215
44,246,44_246,64.0,64.0,64.0,64.0,64.0,64.1,69.8,2388.0,0.0,0.0,0.0,0.0,0.09999999999999432,5.799999999999997
246,44,44_246,71.25,73.0,73.0,74.73913043478261,78.80952380952381,61.63157894736842,65.0,2388.0,-3.4891304347826093,-1.7391304347826093,-1.7391304347826093,4.070393374741201,-13.107551487414192,-9.73913043478261
44,246,44_246,70.0,70.0,70.0,70.0,70.0,70.0,70.0,2065.0,0.0,0.0,0.0,0.0,0.0,0.0
246,44,44_246,64.2,64.0,64.0,39.76190476190476,34.0,34.0,38.1,2065.0,24.438095238095244,24.23809523809524,24.23809523809524,-5.761904761904759,-5.761904761904759,-1.6619047619047578
44,246,44_246,82.0,82.0,82.0,82.0,82.0,82.0,82.0,2215.0,0.0,0.0,0.0,0.0,0.0,0.0
246,44,44_246,32.0,30.7,53.25,55.90909090909091,47.3,47.0,29.25,2215.0,-23.909090909090907,-25.209090909090907,-2.6590909090909065,-8.60909090909091,-8.909090909090907,-26.659090909090907
44,246,44_246,82.0,82.0,82.0,82.0,82.0,82.0,82.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0
246,44,44_246,97.0,97.0,97.0,97.0,97.0,97.0,87.35,2400.0,0.0,0.0,0.0,0.0,0.0,-9.650000000000006
5,228,5_228,52.0,52.0,46.473684210526315,45.0,52.578947368421055,54.0,54.0,3300.0,7.0,7.0,1.473684210526315,7.578947368421055,9.0,9.0
228,5,5_228,66.65,69.0,68.6842105263158,61.28125,65.0,56.31578947368421,60.8421052631579,3300.0,5.368750000000006,7.71875,7.402960526315795,3.71875,-4.965460526315788,-0.43914473684210265
5,228,5_228,86.0,86.0,86.0,88.90322580645162,90.0,90.0,89.1,3157.0,-2.9032258064516157,-2.9032258064516157,-2.9032258064516157,1.0967741935483843,1.0967741935483843,0.19677419354837866
228,5,5_228,93.0,92.4,92.0,90.90322580645162,82.4,84.85,85.0,3157.0,2.0967741935483843,1.49677419354839,1.0967741935483843,-8.50322580645161,-6.053225806451621,-5.903225806451616
44,253,44_253,33.0,33.0,33.0,35.6875,37.3,38.0,38.0,4852.0,-2.6875,-2.6875,-2.6875,1.6124999999999972,2.3125,2.3125
253,44,44_253,51.1,59.6,60.0,60.854166666666664,61.0,61.0,61.0,4852.0,-9.754166666666663,-1.2541666666666629,-0.8541666666666643,0.1458333333333357,0.1458333333333357,0.1458333333333357
44,253,44_253,36.0,36.0,37.6,38.0,38.0,38.0,38.0,2360.0,-2.0,-2.0,-0.3999999999999986,0.0,0.0,0.0
253,44,44_253,61.0,61.0,61.0,61.0,61.0,61.0,61.15,2360.0,0.0,0.0,0.0,0.0,0.0,0.14999999999999858
44,253,44_253,39.8,40.0,40.0,40.0,40.0,40.0,40.0,2106.0,-0.20000000000000284,0.0,0.0,0.0,0.0,0.0
253,44,44_253,61.0,61.0,61.0,61.0,61.45,61.0,61.0,2106.0,0.0,0.0,0.0,0.45000000000000284,0.0,0.0
44,253,44_253,63.0,63.0,63.0,63.0,63.0,63.0,63.0,2271.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,73.0,73.0,73.0,73.0,73.0,73.0,73.0,2271.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,63.0,63.0,63.0,65.15384615384616,67.0,67.0,67.0,2567.0,-2.1538461538461604,-2.1538461538461604,-2.1538461538461604,1.8461538461538396,1.8461538461538396,1.8461538461538396
253,44,44_253,73.0,73.0,73.0,73.0,73.0,72.25,74.9,2567.0,0.0,0.0,0.0,0.0,-0.75,1.9000000000000057
44,253,44_253,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2069.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,73.0,72.95,75.0,74.25,74.0,74.0,74.0,2069.0,-1.25,-1.2999999999999972,0.75,-0.25,-0.25,-0.25
44,253,44_253,67.0,67.0,67.0,67.0,67.0,67.0,67.0,2315.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,74.0,74.0,74.0,74.0,74.0,74.0,74.0,2315.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,67.0,67.0,67.0,66.63829787234043,60.0,60.0,60.55,4780.0,0.36170212765956933,0.36170212765956933,0.36170212765956933,-6.638297872340431,-6.638297872340431,-6.0882978723404335
253,44,44_253,74.0,74.0,74.0,74.0,74.0,74.0,74.0,4780.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,71.0,71.0,71.0,71.0,71.7,72.0,72.0,2605.0,0.0,0.0,0.0,0.7000000000000028,1.0,1.0
253,44,44_253,74.0,74.0,74.0,74.0,74.0,74.0,74.0,2605.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,73.0,73.35,74.0,74.0,74.0,74.0,74.0,2050.0,-1.0,-0.6500000000000057,0.0,0.0,0.0,0.0
253,44,44_253,74.0,74.0,74.0,74.0,74.0,74.0,74.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,74.0,74.0,74.0,74.0,74.0,74.0,74.0,3620.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,74.0,74.0,74.0,74.0,74.0,74.8,78.0,3620.0,0.0,0.0,0.0,0.0,0.7999999999999972,4.0
44,253,44_253,76.0,76.0,76.0,76.0,76.0,76.0,76.0,2343.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,78.0,78.0,78.0,78.0,78.0,78.0,78.0,2343.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,76.0,77.55,83.0,83.0,83.0,83.0,83.0,2239.0,-7.0,-5.450000000000003,0.0,0.0,0.0,0.0
253,44,44_253,78.0,78.0,78.0,78.0,78.0,78.0,78.0,2239.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,83.0,83.0,83.0,83.0,83.0,83.0,83.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,78.0,78.0,78.0,78.0,78.0,78.0,78.0,2140.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,83.0,83.0,83.0,83.0,83.0,83.0,83.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,78.0,78.0,78.0,78.0,78.0,78.0,78.0,3005.0,0.0,0.0,0.0,0.0,0.0,0.0
44,253,44_253,83.0,83.0,83.0,83.0,83.0,83.0,83.0,4567.0,0.0,0.0,0.0,0.0,0.0,0.0
253,44,44_253,78.0,78.0,78.0,78.0,78.0,78.0,78.0,4567.0,0.0,0.0,0.0,0.0,0.0,0.0
11,240,11_240,86.0,86.0,86.0,86.0,86.0,86.0,86.0,2035.0,0.0,0.0,0.0,0.0,0.0,0.0
240,11,11_240,93.6,94.0,94.1,95.0,95.0,95.0,95.9,2035.0,-1.4000000000000057,-1.0,-0.9000000000000057,0.0,0.0,0.9000000000000057
11,240,11_240,95.0,95.0,95.0,95.0,91.25,79.0,79.9,7773.0,0.0,0.0,0.0,-3.75,-16.0,-15.099999999999994
240,11,11_240,88.65,88.0,87.25,81.71428571428571,87.35,85.85,87.7,7773.0,6.9357142857142975,6.285714285714292,5.535714285714292,5.635714285714286,4.135714285714286,5.985714285714295
11,240,11_240,80.0,80.0,80.0,80.0,80.0,80.0,83.35,2497.0,0.0,0.0,0.0,0.0,0.0,3.3499999999999943
240,11,11_240,91.05,90.75,87.0,86.4,89.1,93.0,93.95,2497.0,4.6499999999999915,4.349999999999994,0.5999999999999943,2.6999999999999886,6.599999999999994,7.549999999999997
11,240,11_240,79.0,79.0,79.0,79.0,79.0,79.0,79.0,2180.0,0.0,0.0,0.0,0.0,0.0,0.0
240,11,11_240,83.15,82.0,82.0,82.0,82.0,82.0,81.35,2180.0,1.1500000000000057,0.0,0.0,0.0,0.0,-0.6500000000000057
11,240,11_240,80.0,80.0,80.0,80.0,80.0,80.0,80.0,2354.0,0.0,0.0,0.0,0.0,0.0,0.0
240,11,11_240,91.15,91.0,91.0,89.25,89.0,89.0,89.0,2354.0,1.9000000000000057,1.75,1.75,-0.25,-0.25,-0.25
101,204,101_204,76.0,78.0,79.0,77.42105263157895,76.2,77.0,77.0,3829.0,-1.4210526315789451,0.5789473684210549,1.5789473684210549,-1.2210526315789423,-0.4210526315789451,-0.4210526315789451
204,101,101_204,13.15,25.65,41.85,43.0,43.0,43.0,43.0,3829.0,-29.85,-17.35,-1.1499999999999986,0.0,0.0,0.0
101,204,101_204,91.05,91.0,90.85,83.47619047619048,81.0,81.0,81.0,2164.0,7.5738095238095156,7.523809523809518,7.373809523809513,-2.4761904761904816,-2.4761904761904816,-2.4761904761904816
204,101,101_204,69.0,69.0,69.0,69.0,69.0,69.0,70.0,2164.0,0.0,0.0,0.0,0.0,0.0,1.0
21,213,21_213,66.0,66.65,70.0,70.0,72.55,73.0,73.0,2603.0,-4.0,-3.3499999999999943,0.0,2.549999999999997,3.0,3.0
213,21,21_213,50.0,53.75,68.95,69.0,69.0,69.0,69.0,2603.0,-19.0,-15.25,-0.04999999999999716,0.0,0.0,0.0
29,238,29_238,75.45,77.0,77.0,77.0,77.0,77.0,77.0,2921.0,-1.5499999999999972,0.0,0.0,0.0,0.0,0.0
238,29,29_238,52.8,57.0,57.0,57.0,57.0,57.0,57.0,2921.0,-4.200000000000003,0.0,0.0,0.0,0.0,0.0
29,238,29_238,77.0,80.05,81.0,80.69565217391305,80.0,80.0,80.0,2315.0,-3.6956521739130466,-0.6456521739130494,0.30434782608695343,-0.6956521739130466,-0.6956521739130466,-0.6956521739130466
238,29,29_238,57.0,57.0,57.0,60.69565217391305,68.0,68.0,68.0,2315.0,-3.6956521739130466,-3.6956521739130466,-3.6956521739130466,7.304347826086953,7.304347826086953,7.304347826086953
29,238,29_238,83.0,83.75,85.0,85.0,85.0,85.0,85.0,2414.0,-2.0,-1.25,0.0,0.0,0.0,0.0
238,29,29_238,80.0,80.0,80.0,80.0,80.0,80.0,80.0,2414.0,0.0,0.0,0.0,0.0,0.0,0.0
25,208,25_208,72.0,72.0,72.95,84.92,85.0,85.0,85.0,2445.0,-12.920000000000002,-12.920000000000002,-11.969999999999999,0.0799999999999983,0.0799999999999983,0.0799999999999983
208,25,25_208,84.0,84.0,84.0,84.0,84.0,84.0,84.0,2445.0,0.0,0.0,0.0,0.0,0.0,0.0
25,208,25_208,58.75,73.0,73.0,73.0,73.0,73.0,73.0,2031.0,-14.25,0.0,0.0,0.0,0.0,0.0
208,25,25_208,79.0,79.0,79.0,79.0,79.0,79.0,79.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0
25,209,25_209,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2956.0,0.0,0.0,0.0,0.0,0.0,0.0
209,25,25_209,80.0,80.0,80.0,80.0,80.0,80.0,79.3,2956.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000028
25,209,25_209,90.0,90.0,90.0,90.0,90.0,90.0,90.0,3706.0,0.0,0.0,0.0,0.0,0.0,0.0
209,25,25_209,81.0,81.0,81.0,80.8108108108108,80.95,80.0,80.0,3706.0,0.18918918918919303,0.18918918918919303,0.18918918918919303,0.13918918918919587,-0.810810810810807,-0.810810810810807
107,234,107_234,85.0,85.0,86.15,89.0,89.0,89.85,91.45,2472.0,-4.0,-4.0,-2.8499999999999943,0.0,0.8499999999999943,2.450000000000003
234,107,107_234,59.0,59.0,58.9,54.5,50.05,37.9,33.0,2472.0,4.5,4.5,4.399999999999999,-4.450000000000003,-16.6,-21.5
107,234,107_234,96.0,96.0,96.0,96.0,96.0,96.0,97.2,2248.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000028
234,107,107_234,26.0,26.0,26.0,34.45454545454545,71.45,73.0,73.0,2248.0,-8.454545454545453,-8.454545454545453,-8.454545454545453,36.99545454545455,38.54545454545455,38.54545454545455
107,234,107_234,96.0,96.0,96.0,96.39473684210526,99.0,99.0,99.0,3862.0,-0.39473684210526017,-0.39473684210526017,-0.39473684210526017,2.60526315789474,2.60526315789474,2.60526315789474
234,107,107_234,26.0,33.55,70.85,73.0,73.0,73.0,73.0,3862.0,-47.0,-39.45,-2.1500000000000057,0.0,0.0,0.0
107,234,107_234,89.75,90.5,91.9,93.0,93.0,93.7,95.2,2182.0,-3.25,-2.5,-1.0999999999999943,0.0,0.7000000000000028,2.200000000000003
234,107,107_234,54.0,54.0,54.0,54.0,54.0,54.0,54.0,2182.0,0.0,0.0,0.0,0.0,0.0,0.0
107,234,107_234,94.0,94.0,94.0,97.90322580645162,99.75,99.0,97.95,3139.0,-3.9032258064516157,-3.9032258064516157,-3.9032258064516157,1.8467741935483843,1.0967741935483843,0.04677419354838719
